S.no,Cadmium,Chromium,Copper,Nickel,Lead,Zinc,Classification
1,0.33,21.1,18.2,18.1,21.8,80.3,Not Organic but fit for cultivation
2,0.332,22.9,16.4,18.2,23.3,91.3,Not Organic but fit for cultivation
3,0.057,9.16,3.69,4.04,10.8,19.4,Organic
4,0.026,11.6,0.62,4.21,10.7,19.8,Organic
5,0.468,16.6,36.4,5.87,31.0,19.4,Avoid Pesticide
6,0.382,1.59,7.66,1.57,27.6,40.1,Organic
7,0.044,10.4,6.49,5.54,14.7,30.0,Organic
8,0.387,12.6,9.98,3.51,41.3,20.0,Organic
9,0.153,26.3,14.5,9.32,21.9,27.4,Organic
10,0.277,44.9,36.9,35.2,34.7,93.3,Not Organic but fit for cultivation
11,0.295,25.1,26.6,28.8,27.9,104.0,Not Organic but fit for cultivation
12,0.173,34.1,11.9,13.1,18.2,63.6,Not Organic but fit for cultivation
13,0.059,35.7,24.4,30.7,19.8,91.1,Not Organic but fit for cultivation
14,0.203,7.42,11.1,6.69,18.5,37.6,Organic
15,0.215,17.3,10.8,9.49,26.5,55.0,Avoid Pesticide
16,1.17,22.9,17.7,21.1,35.2,96.1,Not Organic but fit for cultivation
17,1.18,16.2,6.86,13.0,26.4,86.6,Not Organic but fit for cultivation
18,0.215,37.7,22.3,17.0,42.6,95.2,Not Organic but fit for cultivation
19,0.276,21.0,31.1,20.8,42.5,61.7,Not Organic but fit for cultivation
20,0.337,8.04,13.4,4.3,106.0,25.1,Not Organic but fit for cultivation
21,0.163,17.2,13.3,5.04,70.3,32.4,Organic
22,0.41,39.0,48.4,35.9,199.0,153.0,Not Organic but fit for cultivation
23,0.235,19.0,14.7,18.4,81.7,92.0,Not Organic but fit for cultivation
24,0.19,3.01,4.95,1.07,17.5,13.8,Organic
25,0.173,3.06,5.72,1.42,23.8,14.3,Organic
26,0.301,1.13,2.72,1.19,24.7,15.2,Organic
27,0.422,1.47,4.5,1.46,26.6,16.1,Organic
28,0.319,26.8,79.0,21.9,44.2,84.8,Not Organic but fit for cultivation
29,0.342,23.6,28.7,23.5,47.6,101.0,Not Organic but fit for cultivation
30,0.334,32.2,22.8,21.1,62.7,114.0,Not Organic but fit for cultivation
31,0.069,15.8,10.5,8.34,22.1,22.5,Organic
32,0.099,22.3,7.04,7.99,27.3,25.4,Organic
33,0.289,30.2,29.3,37.0,37.5,86.8,Not Organic but fit for cultivation
34,0.749,49.1,16.4,29.4,83.6,127.0,Not Organic but fit for cultivation
35,0.31,27.0,37.3,15.7,98.9,77.2,Not Organic but fit for cultivation
36,0.372,25.6,32.7,14.2,98.7,84.4,Not Organic but fit for cultivation
37,0.216,16.2,22.0,12.7,24.6,70.9,Not Organic but fit for cultivation
38,0.226,24.5,24.2,21.6,37.8,92.5,Not Organic but fit for cultivation
39,0.182,32.8,19.1,33.6,31.0,84.1,Not Organic but fit for cultivation
40,0.219,31.5,16.5,31.8,24.4,79.8,Not Organic but fit for cultivation
41,1.47,30.4,22.8,25.9,1090.0,245.0,Not fit for cultivation
42,1.06,16.9,19.0,8.57,467.0,127.0,Not Organic but fit for cultivation
43,0.189,15.2,26.3,13.2,35.4,104.0,Not Organic but fit for cultivation
44,0.308,12.8,7.15,3.04,45.4,18.1,Organic
45,1.07,20.8,58.4,29.9,119.0,135.0,Not Organic but fit for cultivation
46,2.7,15.7,58.2,49.2,79.4,345.0,Not fit for cultivation
47,0.164,7.72,11.5,9.84,20.7,31.1,Organic
48,0.471,39.4,19.7,28.9,37.2,154.0,Not Organic but fit for cultivation
49,0.178,34.4,15.1,24.2,25.3,91.3,Not Organic but fit for cultivation
50,0.104,7.21,5.84,2.66,56.6,9.4,Organic
51,0.151,18.1,9.65,7.73,51.4,59.8,Not Organic but fit for cultivation
52,0.211,187.0,31.8,70.3,21.5,80.9,Not Organic but fit for cultivation
53,0.129,13.4,5.43,5.86,45.9,15.4,Organic
54,0.188,61.8,11.4,26.9,27.4,92.4,Not Organic but fit for cultivation
55,0.271,37.7,20.3,30.4,23.9,142.0,Not Organic but fit for cultivation
56,0.341,20.6,23.9,11.0,30.2,32.4,Organic
57,0.114,26.9,16.3,36.3,13.9,35.2,Avoid Pesticide
58,0.093,12.1,7.11,6.5,17.7,25.0,Organic
59,0.146,17.1,12.5,8.36,30.9,37.1,Organic
60,0.137,27.5,12.1,17.0,25.3,48.1,Avoid Pesticide
61,0.196,24.2,13.8,15.8,43.0,64.7,Not Organic but fit for cultivation
62,0.297,18.0,50.6,17.6,48.7,96.7,Not Organic but fit for cultivation
63,0.409,14.9,62.1,11.9,65.5,96.6,Not Organic but fit for cultivation
64,0.236,5.8,5.72,2.75,43.1,13.4,Organic
65,0.208,18.0,3.06,7.4,34.4,31.0,Organic
66,0.172,27.0,22.0,35.6,36.0,86.2,Not Organic but fit for cultivation
67,0.188,33.2,19.9,43.0,29.3,77.2,Not Organic but fit for cultivation
68,0.177,34.1,20.6,28.7,36.0,70.2,Not Organic but fit for cultivation
69,0.094,20.4,17.0,23.9,38.4,51.3,Avoid Pesticide
70,0.246,25.6,13.1,18.3,39.7,58.3,Not Organic but fit for cultivation
71,0.018,9.77,3.84,5.75,21.3,19.0,Organic
